,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,0,0
7,1985,0,0
8,1986,0,0
9,1987,1,3569.68
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,0,0
15,1993,0,0
16,1994,0,0
17,1995,2,21642.07
18,1996,2,1816.4
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,1,0
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,0,0
33,2011,9,377056.88
34,2012,3,279938.23
35,2013,1,2116.99
36,2014,0,0
37,2015,2,1615.27
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,0,0
42,2020,1,2147.03
43,2021,1,3810.2
